Compound,Structure,Class,Aglycon,220_nm,221_nm,222_nm,223_nm,224_nm,225_nm,226_nm,227_nm,228_nm,229_nm,230_nm,231_nm,232_nm,233_nm,234_nm,235_nm,236_nm,237_nm,238_nm,239_nm,240_nm,241_nm,242_nm,243_nm,244_nm,245_nm,246_nm,247_nm,248_nm,249_nm,250_nm,251_nm,252_nm,253_nm,254_nm,255_nm,256_nm,257_nm,258_nm,259_nm,260_nm,261_nm,262_nm,263_nm,264_nm,265_nm,266_nm,267_nm,268_nm,269_nm,270_nm,271_nm,272_nm,273_nm,274_nm,275_nm,276_nm,277_nm,278_nm,279_nm,280_nm,281_nm,282_nm,283_nm,284_nm,285_nm,286_nm,287_nm,288_nm,289_nm,290_nm,291_nm,292_nm,293_nm,294_nm,295_nm,296_nm,297_nm,298_nm,299_nm,300_nm,301_nm,302_nm,303_nm,304_nm,305_nm,306_nm,307_nm,308_nm,309_nm,310_nm,311_nm,312_nm,313_nm,314_nm,315_nm,316_nm,317_nm,318_nm,319_nm,320_nm,321_nm,322_nm,323_nm,324_nm,325_nm,326_nm,327_nm,328_nm,329_nm,330_nm,331_nm,332_nm,333_nm,334_nm,335_nm,336_nm,337_nm,338_nm,339_nm,340_nm,341_nm,342_nm,343_nm,344_nm,345_nm,346_nm,347_nm,348_nm,349_nm,350_nm,351_nm,352_nm,353_nm,354_nm,355_nm,356_nm,357_nm,358_nm,359_nm,360_nm,361_nm,362_nm,363_nm,364_nm,365_nm,366_nm,367_nm,368_nm,369_nm,370_nm,371_nm,372_nm,373_nm,374_nm,375_nm,376_nm,377_nm,378_nm,379_nm,380_nm,381_nm,382_nm,383_nm,384_nm,385_nm,386_nm,387_nm,388_nm,389_nm,390_nm,391_nm,392_nm,393_nm,394_nm,395_nm,396_nm,397_nm,398_nm,399_nm,400_nm,401_nm,402_nm,403_nm,404_nm,405_nm,406_nm,407_nm,408_nm,409_nm,410_nm,411_nm,412_nm,413_nm,414_nm,415_nm,416_nm,417_nm,418_nm,419_nm,420_nm,421_nm,422_nm,423_nm,424_nm,425_nm,426_nm,427_nm,428_nm,429_nm,430_nm,431_nm,432_nm,433_nm,434_nm,435_nm,436_nm,437_nm,438_nm,439_nm,440_nm,441_nm,442_nm,443_nm,444_nm,445_nm,446_nm,447_nm,448_nm,449_nm,450_nm
FL76,O=C1C=C(C2=CC=C(OC)C=C2)OC3=C1C(O)=CC(O)=C3,flavone,aglycon,20244,20219,20277,20363,20540,20659,20742,20783,20808,20832,20765,20545,19883,18347,16894,15562,14332,13577,13062,12843,12645,12340,11991,11580,11242,10969,10728,10560,10456,10475,10583,10739,10988,11295,11610,11934,12292,12686,13063,13428,13807,14205,14603,15012,15428,15860,16302,16651,17020,17399,17621,17667,17541,17327,16760,16237,15717,15110,14592,14196,13837,13517,13317,13125,12955,12842,12763,12722,12690,12709,12737,12784,12842,12906,12975,13044,13116,13188,13254,13306,13357,13408,13462,13516,13569,13618,13666,13730,13826,13921,14043,14173,14308,14506,14703,14935,15184,15402,15614,15826,16030,16234,16433,16607,16781,16907,17024,17130,17215,17295,17325,17356,17373,17387,17400,17383,17357,17323,17266,17209,17132,17048,16965,16850,16732,16613,16466,16319,16172,15978,15778,15578,15359,15105,14851,14598,14300,13999,13655,13298,12940,12577,12201,11825,11447,11032,10617,10202,9787.1,9369.3,8951.4,8533.5,8105.1,7653.2,7221.4,6853.5,6485.7,6116.9,5747.9,5379.4,5011.7,4666.8,4364.2,4078.7,3837,3595.4,3371.4,3178.8,2986.2,2793.6,2621.1,2453.1,2285.1,2142.8,2029.6,1916.3,1803.1,1701.1,1602.8,1504.5,1406.2,1332,1258.6,1185.2,1116.1,1065.7,1015.2,964.76,914.31,868.16,823.17,778.17,733.57,692.98,652.4,614.04,587.41,560.77,534.14,508.57,485.59,462.61,439.63,416.09,389.42,362.75,336.08,323.67,313.21,302.75,291.69,274.55,257.41,240.26,221.87,201.51,181.14,163.13,150.88,138.62,126.37,118.2,112.05,105.9,99.753,94.475,91.442,88.408,85.375,82.341,79.308
FL77,O=C1C=C(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3,flavone,aglycon,16279,15779,15359,14967,14550,14083,13552,12985,12380,11807,11268,10807,10442,10167,9998.3,9916.3,9922.3,10012,10168,10374,10605,10834,11031,11201,11359,11509,11668,11844,12030,12217,12400,12561,12691,12775,12812,12790,12702,12573,12389,12178,11960,11772,11630,11544,11515,11527,11562,11576,11521,11362,11060,10611,10019,9337.8,8627.7,7958.1,7376.6,6917,6582.6,6354.7,6218.8,6155.6,6148.2,6174.6,6228.6,6298.8,6376.5,6467.2,6551.5,6631.2,6701.4,6754.6,6785.6,6808.3,6812,6808.6,6809.1,6802.8,6808.3,6825.9,6855.4,6894.6,6939.7,6992.6,7057.2,7126.8,7201.2,7280.8,7374,7470.8,7580.9,7707.8,7835.9,7982.5,8141.6,8317.2,8508.7,8711.4,8934.9,9171.4,9418.4,9675.4,9943.7,10222,10500,10783,11078,11358,11643,11929,12220,12501,12766,13024,13283,13525,13760,13988,14195,14390,14576,14737,14890,15016,15132,15235,15300,15352,15391,15400,15389,15350,15296,15203,15092,14959,14795,14613,14396,14168,13912,13632,13318,12984,12628,12253,11861,11444,11023,10592,10140,9682.7,9237,8769.4,8314.6,7863,7404.7,6944.6,6509.9,6076.7,5654.2,5234.9,4837.3,4455.1,4086.4,3736.5,3401.7,3081.8,2785.6,2509.8,2251.7,2020.9,1800.5,1601.9,1423.5,1263.2,1112.3,982.76,861.26,762.46,677.68,596.08,520.37,456.91,405,356.31,320.47,286.82,247.42,221.7,198.36,177.47,163.08,145.4,134.12,119.81,109.59,101.95,94.501,89.163,80.031,71.504,68.84,60.973,56.463,56.765,57.862,49.122,43.806,39.196,43.403,42.799,38.893,35.827,35.48,31.608,30.78,27.579,29.683,26.091,27.199,25.285,27.949,23.349,25.453,26.348,26.561,23.54,18.168,19.354,19.835
FL78,O=C1C=C(C2=CC(OC)=C(O)C(OC)=C2)OC3=C1C(O)=CC(O)=C3,flavone,aglycon,32956,31928,31083,30335,29642,28866,27993,27020,25947,24899,23900,22997,22166,21426,20772,20259,19891,19664,19564,19529,19516,19497,19452,19379,19300,19197,19057,18882,18631,18302,17890,17410,16881,16330,15815,15367,15019,14785,14672,14648,14679,14725,14789,14848,14896,14990,15080,15207,15321,15408,15395,15188,14786,14110,13225,12209,11152,10197,9403.2,8800.2,8383.1,8112.3,7968.5,7928.5,7957,8042.3,8164.4,8311.7,8481.3,8675.5,8870.1,9083.5,9289,9499.6,9704.6,9900,10092,10277,10453,10622,10777,10937,11086,11243,11383,11526,11677,11800,11959,12106,12269,12440,12610,12808,13036,13270,13545,13846,14145,14496,14834,15202,15580,15972,16371,16778,17179,17582,17997,18396,18788,19178,19562,19933,20297,20646,20985,21309,21642,21936,22199,22453,22691,22912,23107,23272,23418,23524,23608,23664,23700,23695,23666,23609,23514,23380,23220,23046,22817,22544,22240,21900,21520,21118,20663,20179,19670,19141,18585,18014,17382,16744,16134,15437,14802,14149,13519,12837,12171,11493,10861,10219,9588.3,8962.9,8373.7,7760.8,7194.6,6630.7,6097.1,5624.3,5143.2,4674.4,4231.3,3845.6,3477.2,3142.1,2823.8,2513.4,2242.3,2003.1,1793.6,1580,1400.9,1244.1,1106.3,957.64,855.9,767.56,683.22,595.24,536.33,475.04,417.37,367.99,333.97,296.85,261.09,236.31,210.88,194.96,184.29,151.06,138.37,126.54,127.64,117.58,116.74,106.29,92.764,77.47,68.436,64.342,68.298,66.192,74.439,72.727,63.791,59.244,63.693,66.212,54.048,49.934,53.674,51.627,47.671,45.427,36.688,40.939,45.171,46.234,31.059
FL79,O=C1C=C(C2=CC=CC=C2)OC3=C1C(O)=CC(O)=C3OC,flavone,aglycon,16458,15635,14949,14338,13804,13302,12806,12336,11846,11392,10959,10576,10263,10001,9806.5,9660.9,9578,9557,9577.5,9630.1,9708.3,9795.6,9908.6,10043,10202,10379,10542,10637,10658,10630,10615,10679,10882,11252,11785,12451,13257,14156,15127,16160,17240,18347,19441,20542,21616,22676,23681,24679,25537,26338,27095,27757,28319,28835,29203,29447,29500,29415,29131,28644,28004,27185,26261,25260,24170,23040,21917,20798,19697,18612,17571,16544,15585,14699,13875,13118,12440,11800,11221,10689,10174,9696.1,9232,8800.9,8417.5,8105.2,7845.9,7642.1,7516.5,7429,7372.9,7342,7317.5,7307.7,7297,7281.6,7261.2,7229.6,7197.2,7141.3,7078.1,7014,6934.2,6852.1,6765.7,6672.5,6574.7,6478.2,6385,6296.7,6203.9,6123.4,6047.1,5983.4,5928.5,5869.4,5822.7,5779.1,5735.3,5697.9,5668.9,5643.7,5611.9,5586.8,5560,5527.3,5493.9,5465,5419,5384.8,5343.6,5302.4,5246.7,5190.2,5129.1,5072.3,5007.2,4937.7,4865.5,4773.1,4697.1,4612.8,4533.6,4447.5,4361.4,4260.2,4159.4,4053.5,3948.1,3847.7,3752.6,3644.2,3541.6,3441.7,3335.7,3228.9,3128.7,3025.7,2923.6,2821.8,2721.8,2628.9,2537.9,2442.6,2350.1,2256.3,2157.9,2071.2,1989.6,1906.4,1827.2,1748.7,1676.6,1596.1,1518.8,1448.9,1381.9,1321.4,1259.5,1192.3,1134.7,1078.6,1032.4,973.94,922.74,878.32,833.31,790.34,752.79,705.21,671.26,638.24,601.67,572.31,537.42,514.72,484.68,456.06,432.07,406.71,381.15,363.83,343.03,317.75,305.35,284.06,270.23,263.36,245.94,232.43,215.98,203.55,196.03,188.96,171.92,174.17,168.09,158.04,146.03,140.83,136.12,130.43,117.96,112.02,106.77,99.796,104.41,95.019,97.971,97.85,86.888
FL80,O=C1C=C(C2=CC=CC=C2)OC3=C1C(O)=C(C(O)=C3)O,flavone,aglycon,26702,25136,23536,21964,20447,19077,17762,16578,15488,14530,13705,12997,12448,12026,11732,11528,11390,11316,11273,11276,11340,11454,11623,11855,12127,12407,12691,12955,13209,13440,13658,13878,14081,14271,14445,14627,14815,15039,15314,15670,16092,16620,17206,17849,18558,19291,20035,20799,21435,22034,22591,23092,23449,23662,23823,23900,23873,23834,23657,23313,22817,22194,21458,20624,19744,18889,18070,17280,16567,15887,15225,14590,13987,13395,12792,12217,11691,11228,10873,10646,10513,10473,10522,10632,10769,10945,11169,11428,11685,11937,12201,12478,12749,13011,13261,13473,13691,13877,14050,14169,14270,14349,14388,14401,14409,14350,14269,14141,14017,13849,13668,13467,13229,12960,12687,12405,12096,11782,11448,11112,10767,10413,10068,9724.5,9374.7,9034.5,8692.4,8362.5,8025,7705.3,7391.5,7099.5,6810.1,6535.7,6258,6025.4,5789.1,5566.9,5337.1,5117.3,4888.7,4676.4,4472.6,4299.9,4156.3,4016.4,3874.7,3703.5,3555.6,3428.2,3310.9,3192.7,3091.6,2981.1,2861.7,2787.4,2673.7,2581.7,2507.2,2419,2339.3,2271,2193.8,2116.3,2056.1,1988.3,1926.8,1857.8,1810.2,1745.5,1682.8,1630.3,1572.1,1536,1464.2,1426.7,1379.3,1340.4,1286.4,1243.5,1194.7,1160,1123.4,1087.2,1044.6,1019.8,975.1,926.7,912.2,880.35,832.38,818.41,789,769.76,723.19,689.32,677.57,650.97,639.38,619.75,589.15,581.39,543.57,516.79,502.77,484.93,461.34,464.97,425.48,424.83,414.95,392.64,354.84,380.87,364.49,330.23,343.87,325.16,310.14,303.91,284.49,291.63,285.12,253.49,247.97,228.56,226.45,226.51,218.88,216.36,215.64
FL81,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=C(C(O)=C3)O,flavone,aglycon,22345,21933,21413,20864,20301,19651,18825,17614,16581,15595,14670,13967,13301,12635,11986,11458,10931,10424,9956,9487.5,9019.1,8586,8153.4,7720.7,7418,7116.6,6825.4,6652.1,6478.8,6305.5,6190.1,6095,6021.2,5988.8,6041.7,6134.8,6298.8,6462.7,6743.6,7030.6,7376.5,7741.9,8107.4,8481.8,8894.8,9307.8,9720.8,10150,10646,11143,11639,12136,12599,13062,13524,13949,14352,14739,15108,15446,15771,16038,16206,16373,16504,16601,16634,16581,16520,16360,16200,16008,15786,15553,15207,14861,14463,14066,13709,13367,13025,12667,12308,11965,11635,11380,11176,11065,10972,10925,10938,11004,11105,11281,11533,11801,12067,12332,12598,12897,13218,13538,13866,14194,14522,14861,15212,15562,15912,16244,16542,16839,17129,17375,17613,17836,17994,18148,18251,18300,18218,18116,17937,17757,17500,17237,16974,16666,16335,16003,15670,15319,14968,14618,14267,13899,13529,13158,12788,12403,12000,11598,11195,10741,10285,9828.5,9413.2,9025.4,8637.6,8255.7,7903.1,7550.5,7197.8,6845.2,6515.5,6234.4,5953.4,5672.4,5391.4,5163,4958.3,4753.6,4548.9,4345.1,4148,3950.8,3753.7,3556.6,3359.4,3188.6,3055.8,2922.9,2790,2657.1,2526.6,2411.6,2296.6,2181.6,2077,1980.3,1883.6,1793.6,1580,1400.9,1244.1,1106.3,957.64,855.9,767.56,683.22,595.24,536.33,475.04,417.37,367.99,333.97,296.85,261.09,236.31,210.88,194.96,184.29,151.06,138.37,126.54,127.64,117.58,116.74,106.29,92.764,77.47,68.436,64.342,68.298,66.192,74.439,72.727,63.791,59.244,63.693,66.212,54.048,49.934,53.674,51.627,47.671,45.427,36.688,40.939,45.171,46.234
FL82,O=C1C=C(C2=CC(OC)=C(OC)C=C2)OC3=C1C(OC)=C(C(OC)=C3)OC,flavone,aglycon,25043,23399,21889,20519,19357,18361,17570,16954,16521,16244,16080,15998,15995,16028,16084,16163,16280,16403,16543,16678,16763,16764,16637,16388,16024,15591,15103,14626,14169,13735,13330,12944,12573,12231,11914,11627,11372,11161,10994,10881,10819,10791,10807,10831,10852,10845,10800,10706,10557,10348,10084,9773.3,9443.6,9104,8767.1,8463.6,8191.1,7942.9,7744,7580.4,7458.9,7373.5,7317.9,7313.2,7336.6,7377.9,7455.7,7571.4,7709.5,7874.7,8075.9,8313.5,8586.1,8891.6,9214.3,9565.4,9926.2,10302,10709,11085,11465,11856,12241,12637,13039,13448,13853,14253,14679,15093,15519,15957,16371,16773,17179,17540,17901,18243,18569,18862,19128,19391,19600,19783,19928,20078,20172,20239,20288,20300,20276,20210,20107,19977,19825,19633,19388,19100,18782,18441,18065,17676,17243,16798,16315,15828,15289,14734,14177,13580,12946,12317,11673,10994,10303,9620.4,8989,8339.9,7754.7,7150.9,6530.6,5946.7,5396.8,4867.7,4380.5,3923.4,3486.5,3094.2,2746.9,2458.5,2175.9,1903.1,1669.8,1469.7,1281,1116.4,975.02,856.73,752.68,652.99,572.58,513.63,458.2,390.32,351.83,300.58,270.92,230,204.74,191.14,198.05,169.73,139.41,103.33,123.18,114.43,98.97,96.076,72.882,67.253,97.13,97.362,87.767,74.097,59.927,55.889,60.213,85.301,81.888,64.448,62.304,65.52,55.21,48.044,52.404,74.58,72.239,66.628,71.649,66.914,65.413,50.51,38.645,64.734,72.203,79.994,87.356,73.972,40.039,69.112,34.268,48.616,108.23,92.859,46.293,81.459,87.874,70.827,79.94,72.239,92.341,75.241,47.222,95.557,79.619,97.773,106.78,89.357,108.99,102.01,98.399
FL83,O=C1C=C(C2=CC(OC)=C(OC)C=C2)OC3=C1C(OC)=C(C(OC)=C3OC)OC,flavone,aglycon,31563,30400,29285,28151,27044,25981,25006,24076,23198,22393,21673,21015,20422,19926,19517,19233,19038,18950,18941,19002,19115,19273,19470,19683,19891,20107,20297,20440,20534,20545,20443,20230,19915,19503,19052,18618,18218,17885,17629,17447,17343,17307,17313,17386,17483,17639,17818,17979,18157,18307,18382,18400,18323,18117,17805,17402,16937,16413,15881,15343,14799,14302,13837,13421,13047,12730,12442,12201,12021,11859,11737,11670,11658,11697,11775,11902,12045,12245,12465,12720,13002,13306,13625,13981,14379,14799,15253,15748,16256,16771,17320,17893,18469,19051,19654,20239,20825,21417,21960,22495,23033,23530,23989,24458,24853,25215,25539,25830,26074,26280,26429,26555,26585,26588,26528,26446,26321,26100,25851,25580,25204,24817,24392,23929,23410,22886,22322,21708,21072,20407,19709,18995,18252,17505,16699,15886,15072,14260,13421,12581,11691,10813,9958,9153.6,8389.7,7654.6,6904.8,6222.7,5607.9,5025.9,4523.2,4041.5,3604,3204.9,2840.4,2551.6,2260.5,2008.8,1790.4,1580.9,1396.2,1251.8,1133.5,1003.1,910.94,806.99,728.22,658.92,602.05,543.31,497.91,447.77,438.37,393.62,339.53,337.19,305.24,284.52,287.12,270.27,247.17,256.97,245.26,234.52,236.37,227.62,202.37,199.55,197.1,197.19,184.54,184.64,185.91,188.18,157.94,164.47,172.08,165.17,153.51,147.79,145.91,162.52,149.55,136.2,136.9,136.59,133,149.94,128.2,141.84,135.07,103.43,90.759,135.24,146.83,102.33,121.65,133.41,126.35,119.58,110.28,133.46,114.47,120.71,109.17,102.35,86.614,79.241,96.349,102.66,81.193
FL84,O=C1C=C(C2=CC=C(OC)C=C2)OC3=C1C(OC)=C(C(OC)=C3OC)OC,flavone,aglycon,16008,15641,15265,14843,14423,13986,13532,13069,12612,12129,11637,11158,10672,10178,9688.3,9199.3,8699.2,8210.4,7736.2,7279.6,6856.8,6491.9,6172.6,5916.7,5728.7,5610.7,5563.6,5581.3,5658.4,5786,5960.5,6176.8,6428.1,6710.4,7011.5,7318.4,7638.2,7962.3,8271.4,8573,8862.3,9132,9384.7,9634.4,9879.4,10124,10377,10597,10789,10940,11045,11100,11076,10998,10852,10674,10456,10216,9988.3,9768.2,9550.2,9353.2,9176.2,9010.5,8869.8,8761.7,8682,8620.6,8589.3,8579.2,8588.5,8618,8673.6,8766.8,8886.7,9038.1,9209.9,9368.3,9563.1,9780.2,10033,10323,10641,10987,11351,11720,12106,12486,12881,13261,13614,13990,14314,14613,14915,15206,15446,15650,15836,15961,16059,16146,16227,16223,16211,16142,16031,15916,15776,15580,15357,15102,14800,14476,14139,13794,13407,12993,12565,12132,11690,11262,10807,10354,9881.5,9400,8902.3,8390.4,7884.6,7369.5,6856.3,6339.2,5817,5301.5,4787.7,4314.7,3879.5,3464.2,3089.3,2730.2,2385,2073.2,1793.8,1553.5,1337.1,1143.2,969.47,818.06,694.8,596.85,512.13,432.71,363.69,314.71,272.64,217.34,182.03,160.94,138.79,118.97,103.31,87.076,68.43,58.385,56.385,54.802,45.97,34.388,28.185,23.111,21.102,26.342,23.278,11.353,8.5481,3.2062,5.9281,2.2525,13.362,13.372,9.4369,1.4507,0.38239,0.41328,3.5708,1.8673,2.4562,10.807,10.631,10.548,0.43231,5.2836,3.5487,4.9559,6.2336,7.7241,8.2796,2.0396,5.03,5.0856,11.039,9.8443,3.9283,2.2803,1.2527,2.734,13.353,11.863,13.075,3.7802,2.0396,4.6227,12.029,18.066,11.724,14.427,17.047,18.945,7.7519,8.1593,16.964,19.454,21.26,15.038,11.011,14.159,14.89,18.649,26.537,25.916,19.926
FL85,O=C1C=C(C2=CC=C(OC)C=C2)OC3=C1C(O)=C(C(OC)=C3)O,flavone,aglycon,25043,23399,21889,20519,19357,18361,17570,16954,16521,16244,16080,15155,15566,15800,15852,15777,15528,15131,14530,14180,13263,12468,11673,11071,10540,10157,9824.1,9496.5,9350,9203.4,9084.3,9026.6,9015.7,9067.1,9123.5,9238.2,9352.9,9467.7,9647,9852.6,10058,10351,10655,11188,11773,12438,13235,14032,14829,15718,16607,17496,18388,19284,20180,21075,21971,22739,23439,24117,24706,25295,25712,26086,26459,26677,26777,26670,26519,26182,25844,25294,24730,24166,23507,22798,22090,21381,20643,19887,19131,18417,17742,17211,16760,16374,16245,16320,16473,16845,17320,17943,18567,19301,20110,20918,21727,22535,23348,24171,24993,25815,26576,27273,27970,28648,29166,29685,30204,30662,31011,31360,31593,31757,31854,31900,31802,31655,31381,31101,30632,30164,29695,29226,28607,27848,27090,26332,25488,24557,23625,22694,21762,20831,19895,18940,17985,17030,16076,15121,14166,13300,12467,11635,10803,9971.1,9280.5,8639.7,7998.8,7358,6738,6246.1,5754.2,5336.1,4965.3,4594.5,4223.7,3926.6,3684.9,3443.3,3201.6,3008.7,2834.8,2660.8,2486.9,2350.8,2215.8,2080.9,1950.4,1852.5,1754.6,1656.7,1558.8,1471.8,1399.4,1326.9,1254.5,1182,1114.1,1059,1003.8,948.72,893.6,838.47,798.66,758.86,719.05,679.24,639.44,603.96,569.29,534.64,499.98,465.32,438.76,412.55,386.34,360.13,333.91,318.31,304.01,289.71,275.42,261.12,247.87,234.84,221.82,208.79,198.97,189.94,180.91,171.88,163.35,155.78,148.21,140.64,133.17,125.89,118.61,111.34,104.51,99.479,94.451,89.423,84.394,79.366,75.333,71.836,68.339,66.632,64.924
FL86,O=C1C=C(C2=CC=C(OC)C=C2)OC3=C1C(O)=C(C(OC)=C3)OC,flavone,aglycon,25043,23399,21889,20519,19357,18361,17570,16954,16521,16244,16080,15155,15566,15800,15852,15777,15528,15131,14530,13920,13263,12643,12170,11698,11390,11204,11152,11189,11255,11430,11678,11980,12282,12615,12970,13325,13693,14091,14489,15006,15592,16179,16825,17585,18345,19105,19833,20532,21232,21900,22477,22985,23427,23735,23999,24180,24234,24145,23925,23694,23384,23046,22618,22189,21748,21268,20788,20308,19836,19414,18998,18653,18309,18029,17804,17673,17556,17460,17363,17317,17279,17309,17387,17491,17786,18144,18610,19076,19698,20386,21075,21866,22681,23495,24309,25121,25908,26696,27483,28188,28857,29528,30206,30830,31366,31843,32286,32630,32928,33162,33336,33461,33500,33459,33335,33173,32917,32609,32249,31639,31030,30420,29804,29187,28569,27810,26989,26168,25347,24526,23705,22846,21938,21029,20121,19212,18265,17259,16252,15245,14239,13232,12276,11364,10453,9541.5,8630.1,7935.3,7294.6,6654,6013.3,5543,5072.8,4602.5,4132.2,3662,3309.7,2962.4,2652.8,2382.5,2114.7,1928,1741.3,1557.3,1375.5,1210.1,1109.9,1009.8,930.4,863.16,795.92,738.75,694.39,650.03,605.67,565.62,534.33,503.03,471.73,440.43,411.41,392.09,372.76,353.44,334.12,314.8,300.18,288.2,276.23,264.26,252.28,240.31,229.97,222.41,214.84,207.28,199.72,192.16,184.59,177.29,170.64,163.99,157.34,150.69,145.05,140.7,136.35,132,127.65,124.1,121.32,118.53,115.75,112.97,110.19,107.41,104.62,102.52,100.59,98.657,96.725,94.793,92.861,90.929,88.997,87.065,85.133,83.201,81.607,80.158,78.708
FL87,O=C1C(C)=C(C2=CC=CC=C2)OC3=C1C=CC=C3C(O)=O,flavone,aglycon,18603,17632,16878,16304,15837,15486,15209,15042,14938,14886,14913,14991,15150,15380,15671,15985,16320,16668,16995,17289,17542,17729,17839,17860,17782,17589,17296,16919,16455,15901,15280,14581,13819,13004,12135,11245,10325,9428.8,8597.2,7848.6,7215.5,6716.9,6374.8,6118.5,5992,5992.3,6070.7,6226.3,6504.8,6811.4,7081.3,7382.3,7727.9,8115.3,8507.2,8913.8,9313.2,9727.6,10138,10535,10929,11305,11669,11995,12298,12574,12821,13014,13148,13247,13296,13283,13233,13138,12999,12870,12689,12527,12348,12203,12075,11963,11913,11877,11895,11943,12017,12114,12244,12366,12482,12595,12695,12757,12790,12800,12775,12743,12681,12569,12439,12249,12003,11668,11270,10770,10215,9576.5,8865.5,8142.5,7387.6,6640.7,5891.7,5191.6,4526.1,3917.1,3339.4,2842.5,2392.3,2000.1,1655.5,1368.2,1122,923.87,752.27,618.16,499.32,412.85,336.72,280.3,236.3,205.06,167.85,148.94,124.57,113.96,105.51,95.239,81.418,83.225,78.942,64.271,63.163,56.252,54.141,59.153,54.126,54.384,53.913,43.388,44.664,44.452,52.258,43.343,46.016,39.288,43.312,31.618,40.336,34.64,48.977,42.963,33.942,35.035,34.306,39.941,44.649,32.818,33.927,30.585,25.71,40.138,30.707,30.661,34.063,29.765,22.9,27.335,28.96,33.592,29.75,31.208,21.427,17.372,27.472,31.967,26.287,18.451,29.006,30.373,26.105,30.312,29.902,22.445,27.411,26.743,21.579,18.223,24.283,26.819,26.697,28.489,23.128,22.733,22.597,24.176,27.047,23.295,20.288,27.791,29.021,22.673,28.748,27.138,25.163,19.331,25.103,29.887,30.16,28.095,33.532,29.249,27.487,23.037,23.219,21.64,24.222,26.029,22.931,22.642,25.741
FL88,O=C1C=C(C2=C(C)C=C(OC)C=C2C)OC3=C1C=CC=C3,flavone,aglycon,30094,30417,30728,30908,31057,30852,30648,30210,29762,29144,28318,27198,25784,24375,22983,21591,20464,19398,18332,17531,16733,15935,15277,14723,14170,13616,13079,12543,12020,11534,11049,10556,10061,9565.2,9069.8,8653.6,8238.2,7822.8,7545.3,7288.5,7031.6,6827,6631.5,6504.5,6401.6,6298.6,6266,6257.9,6322.6,6387.2,6510.8,6675.4,6840,7004.6,7231.7,7460.8,7693.8,7999.3,8304.9,8610.4,8915.9,9263.9,9628.3,9992.7,10357,10724,11092,11460,11781,12070,12359,12599,12823,13048,13218,13378,13538,13639,13717,13794,13872,13790,13707,13625,13416,13190,12902,12434,11967,11222,10462,9681,8855.6,8084.9,7430.6,6776.4,6193.4,5717.3,5241.2,4854,4531.2,4208.4,3939,3729.7,3520.5,3310.4,3099.9,2889.4,2702.3,2535.8,2369.3,2206.6,2047.6,1888.6,1729.6,1596,1473.7,1351.5,1229.3,1122,923.87,752.27,618.16,499.32,412.85,336.72,280.3,236.3,205.06,167.85,148.94,124.57,113.96,105.51,95.239,81.418,83.225,78.942,64.271,63.163,56.252,54.141,59.153,54.126,54.384,53.913,43.388,44.664,44.452,52.258,43.343,46.016,39.288,43.312,31.618,40.336,34.64,48.977,42.963,33.942,35.035,34.306,39.941,44.649,32.818,33.927,30.585,25.71,40.138,30.707,30.661,34.063,29.765,22.9,27.335,28.96,33.592,29.75,31.208,21.427,17.372,27.472,31.967,26.287,18.451,29.006,30.373,26.105,30.312,29.902,22.445,27.411,26.743,21.579,18.223,24.283,26.819,26.697,28.489,23.128,22.733,22.597,24.176,27.047,23.295,20.288,27.791,29.021,22.673,28.748,27.138,25.163,19.331,25.103,29.887,30.16,28.095,33.532,29.249,27.487,23.037,23.219,21.64,24.222,26.029,22.931,22.642,25.741,22.931,22.642,25.741
